Index,X,Y,Z
1,0.0,0.0,0.0
2,2197.40502,0.03449,41.77065
3,452.10918,0.03365,-160.08996
4,3445.52785,0.30213,2776.14965
5,828.35513,0.12476,-1056.1954
6,1957.14261,0.34068,-1676.95291
7,549.05296,0.17912,37.87796
8,543.67897,0.20886,198.27115
9,1806.54532,0.86213,876.68389
10,3373.79614,2.07994,2504.31996
11,582.75424,0.37038,-716.23522
12,1633.4042,1.06439,1747.93831
13,2490.53728,1.77782,-1806.84145
14,2057.57155,1.7389,-12.94442
15,3309.67664,2.90916,4056.79189
16,1042.12982,0.92744,-880.43116
17,4321.80376,3.95981,-6152.58522
18,447.10745,0.41225,-31.68578
19,1956.93966,1.82078,1545.72309
20,885.85158,0.97476,385.71692
21,1875.47277,2.17307,263.82215
22,2074.54138,2.53838,-2416.3337
23,839.62827,1.09269,198.66919
24,967.70874,1.29015,-419.82243
25,582.43094,0.80879,-568.18381
26,980.64726,1.4392,-233.50361
27,808.70646,1.21258,-710.41209
28,1439.66634,2.19137,-1359.61029
29,2693.97158,4.33657,-3110.88145
30,1812.93246,3.04102,1640.49778
31,3064.13678,5.24535,143.18687
32,2034.62862,3.50076,2598.5481
33,1118.74004,1.9364,-206.58692
34,665.4131,1.15654,337.84832
35,1407.24913,2.529,-363.69062
36,1802.88895,3.25359,392.01059
37,2594.28169,4.76909,-2799.57073
38,80.26508,0.15848,-415.32715
39,886.06493,1.73657,-265.78231
40,2129.59233,4.33276,2963.89159
41,1470.54957,3.21961,712.3111
42,690.24292,1.55048,1174.5989
43,3350.1103,7.76192,-193.53759
44,190.43572,0.44508,-593.2361
45,7513.84895,17.6497,-3603.63723
46,222.91838,0.52522,-341.11837
47,5088.863,12.01131,-4375.65308
48,3601.40834,8.77278,1078.35722
49,356.77374,0.89097,-475.13999
50,470.87672,1.2072,-2042.86993
51,477.5204,1.27177,154.8699
52,257.02202,0.7125,-596.31861
53,2538.04153,7.21721,9.87533
54,103.74188,0.30419,-280.0908
55,181.12462,0.54853,343.18498
56,741.9065,2.27164,-1553.06013
57,1055.97675,3.24911,1443.98682
58,2166.25621,6.80458,-2198.47132
59,1323.25125,4.19892,1335.01154
60,2155.36337,6.9433,-1141.57726
61,315.09513,1.02901,-447.18378
62,386.42308,1.2708,-1212.1608
63,1378.62871,4.79653,600.54225
64,302.06989,1.05644,92.28456
65,1576.86444,5.54335,924.99452
66,1348.41793,4.76944,1007.93121
67,1097.16997,3.96439,820.19935
68,856.79304,3.28884,-195.11553
69,1101.31222,4.23507,2575.53115
70,361.32732,1.40219,260.14553
71,4082.01365,15.90705,-4942.49872
72,2907.67266,11.58155,1875.72518
73,1806.80166,7.27112,-1045.86559
74,6750.06346,27.36898,2176.04708
75,2211.27909,9.09944,1566.65514
76,715.47716,3.03237,-149.78171
77,436.20267,1.85316,-37.64562
78,3339.93017,14.46094,4287.36791
79,422.29742,1.86052,223.46816
80,2769.50145,12.38095,-1274.66385
81,949.62169,4.31695,2553.96031
82,3383.70259,15.44324,-345.79615
83,1197.36878,5.62356,-1368.23418
84,3485.33968,16.85962,4653.4044
