Index,X,Y,Z
1,0.0,0.0,0.0
2,2197.405,0.03449,41.77065
3,452.1092,0.03365,-160.08997
4,3445.5278,0.30213,2776.1497
5,828.3551,0.12476,-1056.1954
9,1806.5453,0.86213,876.6839
11,582.7542,0.37038,-716.2352
15,3309.6768,2.90916,4056.792
24,967.70874,1.29015,-419.82242
26,980.6473,1.4392,-233.50362
27,808.7065,1.21258,-710.4121
29,2693.9717,4.33657,-3110.8813
30,1812.9325,3.04102,1640.4978
35,1407.2491,2.529,-363.6906
36,1802.8889,3.25359,392.0106
38,80.26508,0.15848,-415.32715
47,5088.863,12.01131,-4375.6533
52,257.02203,0.7125,-596.3186
56,741.9065,2.27164,-1553.0602
65,1576.8644,5.54335,924.9945
66,1348.418,4.76944,1007.9312
67,1097.1699,3.96439,820.19934
69,1101.3123,4.23507,2575.5312
75,2211.279,9.09944,1566.6552
78,3339.9302,14.46094,4287.3677
82,3383.7026,15.44324,-345.79614
87,3787.0354,19.21411,-1431.4391
89,763.1246,3.92913,-490.99347
90,1460.0957,7.69644,-309.39938
95,1733.3582,9.57136,622.0496
97,2134.1575,11.93767,-1887.3386
100,902.5836,5.16403,2610.8123
101,1283.4789,7.3972,1528.6165
109,1041.3997,6.82192,-696.981
111,765.8887,5.1678,-127.20744
115,149.02031,1.03716,-648.8886
118,1718.6987,12.13907,-1408.6156
125,3917.0623,28.85224,-2707.68
127,8618.746,63.96161,-171.50636
128,500.7335,3.73003,-1.90331
129,1645.6934,12.31343,741.4591
131,1581.9054,12.07783,-469.54642
132,1600.6669,12.4397,3865.7993
134,1864.3113,14.75627,1372.0402
135,239.76009,1.89891,546.3621
137,423.78278,3.37022,166.61745
140,409.07217,3.41175,199.56055
147,2160.144,18.51919,2258.1096
148,1338.5082,11.60926,2668.1323
151,623.8574,5.56308,-30.1437
152,1654.0353,14.77564,-4370.345
154,3476.6763,31.15087,1780.6012
159,1785.9374,16.45306,1455.7651
163,108.34733,1.02555,55.40428
166,1060.3827,10.20961,1834.1583
167,1428.7897,13.77587,1689.0931
170,968.32336,9.60091,-496.2904
171,634.92065,6.31126,-151.354
179,1279.7401,13.45289,-135.85222
182,859.4133,9.0816,163.58357
188,5295.51,58.44246,4793.179
204,429.21085,5.05075,3482.4177
206,1892.1094,22.35411,1759.6505
217,2381.4685,29.67865,2576.6628
219,1472.339,18.5997,-2429.5342
227,1658.0977,21.50847,97.99269
228,2923.8547,37.95532,504.8293
234,304.37747,4.06142,463.99908
235,1822.348,24.34686,264.61823
245,2880.5415,40.51946,3281.7505
246,944.6145,13.47427,-1369.6953
250,1998.213,29.02105,1575.0917
252,982.5396,14.32614,-71.22563
259,1472.2496,22.03837,-816.195
263,1531.7421,23.15881,2056.1746
266,1411.4445,21.60892,309.2475
267,2641.529,40.50378,-5885.915
272,554.90137,8.75951,-334.70218
276,1197.5366,19.16988,81.79677
280,3986.8416,64.51119,947.3626
284,1051.3145,17.71134,2442.901
289,556.24457,9.51516,-510.84235
293,1353.9475,23.34095,1019.32245
295,1355.1957,23.45727,519.0333
302,1314.9546,23.75853,2019.0814
305,531.3007,9.68178,432.15466
308,1934.454,35.44091,-1123.1276
309,1098.4496,20.16555,-196.5102
310,3495.0242,64.63852,-1777.4507
312,2620.7305,48.6282,-822.6792
313,1979.1478,36.82912,496.53558
332,901.3877,17.71039,-110.14491
336,565.77203,11.31274,1738.3673
338,7856.7715,157.80095,-2773.207
344,2279.6414,46.00531,116.99052
359,1376.6161,28.66331,36.94304
360,727.0765,15.16943,571.73627
363,1914.1322,40.48876,-1089.0824
366,983.04596,20.8788,569.65594
369,2917.5032,62.24453,-1702.2754
370,1949.1621,41.66685,-1218.0916
371,3458.1472,73.96876,4467.109
373,1787.1311,38.4753,897.0397
378,496.85495,10.75186,508.7996
384,414.48837,9.12359,-301.38358
385,1006.8081,22.21163,164.54962
388,1064.0597,23.69398,1945.1525
390,257.09064,5.74993,-330.94617
399,2098.131,47.68932,1541.8357
404,1559.3911,36.05442,1761.6273
405,610.42834,14.20452,1581.1111
407,1787.6067,41.60946,-697.699
409,34.48844,0.81384,-26.33508
413,401.74243,9.41573,-2117.376
415,882.18225,20.71003,-584.0505
421,163.72766,3.90031,671.3989
426,418.56366,10.01171,171.07033
431,1122.2913,27.36369,-1228.1111
435,2314.8342,57.0543,-3747.6436
439,276.2297,6.86494,447.62378
445,1218.4581,30.52729,392.27252
446,366.7927,9.21634,2335.42
448,1203.4358,30.61145,-1587.1348
449,193.48181,4.94362,971.9979
455,1296.0083,33.45085,-333.65994
456,281.1792,7.26208,-725.60065
460,1698.7432,44.26956,1683.9305
469,855.3012,22.89695,146.4813
477,759.49695,20.81957,-1574.5226
478,6546.5903,179.50034,-1246.7488
480,168.37769,4.6441,-194.2844
483,900.57074,24.90669,780.3626
485,1046.409,28.98493,2676.1077
486,2113.6428,58.70229,-968.19147
497,966.1026,27.68565,926.2639
498,1423.0293,40.944,774.6806
500,1262.0084,36.3429,1908.525
504,1594.212,46.34013,-730.89734
505,3357.4177,97.70832,9313.85
507,7252.577,213.82088,-796.08105
510,1682.3376,49.75974,298.86313
511,1103.7462,32.67584,-83.9971
514,362.09604,10.80174,-154.57211
517,2245.6956,67.09459,1356.9222
519,1340.9708,40.22414,43.59112
520,2072.3518,62.1637,2417.414
522,3568.8545,107.32008,-5129.7427
529,867.68463,26.48295,1908.2626
533,2529.6409,77.76737,-862.5889
534,1149.8687,35.47804,138.71748
536,153.69649,4.76664,1913.2164
537,921.873,28.67659,-261.86224
542,730.80756,22.81202,2358.3962
543,3254.8076,101.85561,2267.7947
544,1366.782,42.85499,1454.0009
546,1049.8567,33.04887,-1824.5112
548,183.23567,5.77827,-777.40094
554,1679.2657,53.5391,-526.09845
558,453.86676,14.6117,-215.20253
560,7664.115,246.9265,-1495.165
561,1333.8162,43.00737,-274.24985
562,1076.8256,34.89196,-919.51404
564,798.18536,26.02133,-1184.4991
575,690.0364,22.96501,933.9515
576,1332.2972,44.36217,1121.6655
578,1333.9882,44.55692,-3128.5376
582,508.84457,17.06383,-1139.9061
584,1992.4612,67.05987,-2104.091
586,1832.0042,61.85593,-81.59303
590,1941.8331,66.17022,-382.21716
591,1310.4789,44.90215,1051.3246
593,872.76245,30.04737,-74.1749
594,1430.3137,49.39477,-1295.6083
596,1052.9801,36.71245,-267.1341
600,202.41592,7.07364,-1004.37164
602,1614.0618,56.46179,-1336.6602
603,1073.0914,37.60705,655.19257
604,1502.1119,52.66301,-868.8861
606,791.15753,27.82872,-524.5625
609,2620.2183,92.60415,226.0281
613,1532.1797,54.82549,-1210.0071
617,1648.1697,59.1911,-1946.2107
620,265.11673,9.57394,-70.21385
625,2696.0327,98.49585,162.20132
628,259.74573,9.51042,144.61264
630,4331.3164,159.07845,-6724.1646
634,2174.8574,80.14159,-2121.84
635,2991.0315,110.309,-4036.5151
646,5506.5957,205.72594,-1745.7017
661,1337.9923,51.5849,1157.4558
663,1938.5258,74.75353,1656.5688
669,2354.4739,91.41767,-960.58453
670,782.0143,30.53104,177.86758
677,753.9163,29.75289,-1038.5582
681,2669.917,105.45478,-1208.4194
682,1847.8131,73.02778,772.20557
695,1797.8093,72.14338,-1101.6044
700,464.5132,18.78356,219.57478
702,1478.4716,60.05685,-1130.6161
704,1059.6218,43.10735,-951.0764
705,491.3616,20.00156,155.37418
713,643.085,26.58564,223.07707
720,842.13196,35.17881,-1895.7612
722,983.4633,41.163,-385.3931
727,1552.8502,65.46506,-2320.9639
736,1799.7053,77.25969,2436.7659
737,459.2508,19.71928,-307.59738
739,753.7922,32.4526,112.12898
740,1554.457,66.9397,314.18176
756,496.0639,21.75183,-987.1224
757,1031.5536,45.27858,1083.9141
759,819.6084,35.98363,-129.55891
762,2668.9092,117.45645,1770.868
766,1499.5773,66.20362,1840.9021
776,3044.6704,136.55469,3748.2134
777,3042.4443,136.48553,3934.0518
