Index,NAME,GALAXY,RADIUS,COLOR,DISTANCE_FROM_EARTH,LIKELIHOOD_OF_LIFE,NUM_SURR_PLANETS,TYPE_OF_STAR
1,Komu kepo,Cize loha,11.283134082358988,#83E792,2387254243.6619678,97.03045925375781,0,Main Sequence
2,Vuru goza,Zuju vuhi,15.108297217469856,#2AC3C3,3655900967.643971,58.12317029166931,13,Supergiant
3,Kina cowu,Yazo keku,3.823228120146334,#C6DDC3,5519678016.621352,46.228243635600954,16,White Dwarf
4,Moxe copu,Xixa xuyu,14.392850921395977,#0BF991,1517002825.597455,85.0666837628854,8,White Dwarf
5,Fape zibu,Kiqe xofu,8.962635550725826,#834F39,8754685882.737814,35.56281650670618,5,Supergiant
9,Xape yula,Mana toyu,5.762670804958035,#524446,12658498157.564491,69.87808405466089,9,Supergiant
11,Qule kine,Layo quri,30.81052062235911,#57F2B7,7331119379.490479,39.451027291577034,2,Supergiant
15,Sewi varo,Qeya tiyu,21.620219745363862,#61780A,12453753986.354774,87.61168905614969,10,White Dwarf
24,Qefu bune,Voya geyu,27.83890803294497,#65A8CC,11067115806.23782,81.77375032435874,6,Giant
26,Yuqu gubo,Fike siku,46.87156846162966,#2B83DE,1546196244.9697428,89.00516526867447,16,Supergiant
27,Tuka caka,Nevi voqu,47.667264694790596,#B10819,4630353501.57503,61.223216181663744,13,White Dwarf
29,Coxa yalo,Hilu wavo,16.072973431378994,#06C915,9959628758.568443,34.81650841393079,1,Giant
30,Vudo didu,Mami fiqa,22.740106423476444,#89AD18,11372442507.163898,38.47622513508957,10,White Dwarf
35,Wuru mupa,Kidu pula,33.34774637554096,#02F061,4991412327.441556,77.25057635488758,8,Supergiant
36,Pono tufi,Mawi vexo,15.254021298104806,#5A9DE5,7048409842.788627,96.9015896861227,19,White Dwarf
38,Voha polu,Diqu xiro,17.861018433928564,#DCB11F,6383976818.456082,67.21626887537691,19,Supergiant
47,Felo supi,Lebi guho,41.94851809286866,#31D2FF,3893450220.0726347,92.62076962851606,10,Red Dwarf
52,Lezo qeba,Cehe wiki,0.9348863316090034,#94466C,3065114721.6494274,17.49271478176796,13,Giant
