Index,x,y,z,type,color,size,opacity
1,0.0,0.0,0.0,stars,#0A87BD,0.09861394581640492,0.09861394581640492
2,2197.405,0.03449,41.77065,stars,#DBDC1B,0.05001694646684932,0.05001694646684932
3,452.1092,0.03365,-160.08997,stars,#59E0B7,0.07506122702778349,0.07506122702778349
4,3445.5278,0.30213,2776.1497,stars,#D82254,0.0464450436339734,0.0464450436339734
5,828.3551,0.12476,-1056.1954,stars,#2D6219,0.018406308382955306,0.018406308382955306
9,1806.5453,0.86213,876.6839,stars,#35D6BE,0.06969753669304697,0.06969753669304697
11,582.7542,0.37038,-716.2352,stars,#738261,0.030387801266690807,0.030387801266690807
15,3309.6768,2.90916,4056.792,stars,#C051A8,0.0868216186467436,0.0868216186467436
24,967.70874,1.29015,-419.82242,stars,#77EF30,0.047039098038922554,0.047039098038922554
26,980.6473,1.4392,-233.50362,stars,#16F593,0.013805386481605357,0.013805386481605357
27,808.7065,1.21258,-710.4121,stars,#FF09DF,0.04308050755422033,0.04308050755422033
29,2693.9717,4.33657,-3110.8813,stars,#EAB37D,0.08942188198920828,0.08942188198920828
30,1812.9325,3.04102,1640.4978,stars,#78DC33,0.08111724004173608,0.08111724004173608
35,1407.2491,2.529,-363.6906,stars,#E30905,0.03885784206953817,0.03885784206953817
36,1802.8889,3.25359,392.0106,stars,#DDADE1,0.03730483146128588,0.03730483146128588
38,80.26508,0.15848,-415.32715,stars,#28422E,0.015700868252503598,0.015700868252503598
47,5088.863,12.01131,-4375.6533,stars,#31B141,0.03284191284489239,0.03284191284489239
52,257.02203,0.7125,-596.3186,stars,#6356F0,0.04264824645139967,0.04264824645139967
56,741.9065,2.27164,-1553.0602,stars,#93205D,0.05150027846439117,0.05150027846439117
65,1576.8644,5.54335,924.9945,stars,#9219F3,0.030589902785197014,0.030589902785197014
66,1348.418,4.76944,1007.9312,stars,#9D4834,0.027169661447242616,0.027169661447242616
67,1097.1699,3.96439,820.19934,stars,#007ED3,0.07679525008384379,0.07679525008384379
69,1101.3123,4.23507,2575.5312,stars,#364CAF,0.060885867579863626,0.060885867579863626
75,2211.279,9.09944,1566.6552,stars,#2E9F9F,0.07684631057890778,0.07684631057890778
78,3339.9302,14.46094,4287.3677,stars,#DE2B31,0.026596666676218933,0.026596666676218933
82,3383.7026,15.44324,-345.79614,stars,#18C158,0.07752495664124073,0.07752495664124073
87,3787.0354,19.21411,-1431.4391,stars,#4457A5,0.011081733708868498,0.011081733708868498
89,763.1246,3.92913,-490.99347,stars,#C72D69,0.05075619898717004,0.05075619898717004
90,1460.0957,7.69644,-309.39938,stars,#082EF7,0.054611904949494645,0.054611904949494645
95,1733.3582,9.57136,622.0496,stars,#9ED8EC,0.050732860394547455,0.050732860394547455
97,2134.1575,11.93767,-1887.3386,stars,#341D39,0.07127103193836823,0.07127103193836823
100,902.5836,5.16403,2610.8123,stars,#93B3FF,0.07276580501733207,0.07276580501733207
101,1283.4789,7.3972,1528.6165,stars,#61EC0D,0.03391852886440591,0.03391852886440591
109,1041.3997,6.82192,-696.981,stars,#BC7C28,0.044875050149860936,0.044875050149860936
111,765.8887,5.1678,-127.20744,stars,#EA83D3,0.011753489185111692,0.011753489185111692
115,149.02031,1.03716,-648.8886,stars,#48A444,0.08806362672874606,0.08806362672874606
118,1718.6987,12.13907,-1408.6156,stars,#B2F84A,0.07447307031285857,0.07447307031285857
125,3917.0623,28.85224,-2707.68,stars,#251E5F,0.054332082984042296,0.054332082984042296
127,8618.746,63.96161,-171.50636,stars,#9A647F,0.07699231597259723,0.07699231597259723
128,500.7335,3.73003,-1.90331,stars,#E1E911,0.010485502760313941,0.010485502760313941
129,1645.6934,12.31343,741.4591,stars,#B73AAE,0.05868919113542245,0.05868919113542245
131,1581.9054,12.07783,-469.54642,stars,#D1F285,0.06872998444464604,0.06872998444464604
132,1600.6669,12.4397,3865.7993,stars,#41724B,0.05364078320857709,0.05364078320857709
134,1864.3113,14.75627,1372.0402,stars,#45AF17,0.04322671667913212,0.04322671667913212
135,239.76009,1.89891,546.3621,stars,#3D7FAB,0.015621408761729738,0.015621408761729738
137,423.78278,3.37022,166.61745,stars,#13E6A6,0.011326209642869449,0.011326209642869449
140,409.07217,3.41175,199.56055,stars,#A83219,0.06217387171949439,0.06217387171949439
147,2160.144,18.51919,2258.1096,stars,#88E094,0.07756966282360478,0.07756966282360478
148,1338.5082,11.60926,2668.1323,stars,#6FF0FC,0.06984577271077427,0.06984577271077427
151,623.8574,5.56308,-30.1437,stars,#AA6610,0.056363733491784196,0.056363733491784196
152,1654.0353,14.77564,-4370.345,stars,#6948BD,0.017906946310782823,0.017906946310782823
154,3476.6763,31.15087,1780.6012,stars,#114622,0.05424588719624316,0.05424588719624316
159,1785.9374,16.45306,1455.7651,stars,#624459,0.08706284561312135,0.08706284561312135
163,108.34733,1.02555,55.40428,stars,#9A840F,0.08963937692203167,0.08963937692203167
166,1060.3827,10.20961,1834.1583,stars,#4AD2AF,0.049925843332192785,0.049925843332192785
167,1428.7897,13.77587,1689.0931,stars,#211F53,0.0667460998521517,0.0667460998521517
170,968.32336,9.60091,-496.2904,stars,#46BCBA,0.08971406357043335,0.08971406357043335
171,634.92065,6.31126,-151.354,stars,#C7B866,0.06757696183869723,0.06757696183869723
179,1279.7401,13.45289,-135.85222,stars,#8C14DA,0.06037966994196291,0.06037966994196291
182,859.4133,9.0816,163.58357,stars,#773CFC,0.017931335585981145,0.017931335585981145
188,5295.51,58.44246,4793.179,stars,#E72BF0,0.05360784031137714,0.05360784031137714
204,429.21085,5.05075,3482.4177,stars,#07F597,0.024444931824853453,0.024444931824853453
206,1892.1094,22.35411,1759.6505,stars,#6504B4,0.09358235223586647,0.09358235223586647
217,2381.4685,29.67865,2576.6628,stars,#037583,0.09990932754761002,0.09990932754761002
219,1472.339,18.5997,-2429.5342,stars,#1F6EB2,0.06489354876013557,0.06489354876013557
227,1658.0977,21.50847,97.99269,stars,#1AEAE3,0.09032847916648248,0.09032847916648248
228,2923.8547,37.95532,504.8293,stars,#60212F,0.0655459953856106,0.0655459953856106
234,304.37747,4.06142,463.99908,stars,#138485,0.0249326528585321,0.0249326528585321
235,1822.348,24.34686,264.61823,stars,#3086CE,0.05572931530348951,0.05572931530348951
245,2880.5415,40.51946,3281.7505,stars,#8F8728,0.06434233181900274,0.06434233181900274
246,944.6145,13.47427,-1369.6953,stars,#BD8716,0.016097779553590656,0.016097779553590656
250,1998.213,29.02105,1575.0917,stars,#290405,0.09236982665002481,0.09236982665002481
252,982.5396,14.32614,-71.22563,stars,#9DBA36,0.04401141728589869,0.04401141728589869
259,1472.2496,22.03837,-816.195,stars,#6BCB8A,0.0512970046833752,0.0512970046833752
263,1531.7421,23.15881,2056.1746,stars,#7F6942,0.023186440710277464,0.023186440710277464
266,1411.4445,21.60892,309.2475,stars,#0F8EA6,0.08762225466845494,0.08762225466845494
267,2641.529,40.50378,-5885.915,stars,#0F9340,0.0539717760050203,0.0539717760050203
272,554.90137,8.75951,-334.70218,stars,#7058D0,0.04730652589588477,0.04730652589588477
276,1197.5366,19.16988,81.79677,stars,#376093,0.08180539337083602,0.08180539337083602
280,3986.8416,64.51119,947.3626,stars,#F9E9E7,0.014602086749995611,0.014602086749995611
284,1051.3145,17.71134,2442.901,stars,#FFCD6C,0.014166874099400886,0.014166874099400886
289,556.24457,9.51516,-510.84235,stars,#EA88F9,0.04024960886008304,0.04024960886008304
293,1353.9475,23.34095,1019.32245,stars,#CAF6A8,0.03863609401824606,0.03863609401824606
295,1355.1957,23.45727,519.0333,stars,#1FA99B,0.023364751266045314,0.023364751266045314
302,1314.9546,23.75853,2019.0814,stars,#0A175E,0.02751262388755274,0.02751262388755274
305,531.3007,9.68178,432.15466,stars,#C53C24,0.014365974091908883,0.014365974091908883
308,1934.454,35.44091,-1123.1276,stars,#A703F8,0.09194731154429052,0.09194731154429052
309,1098.4496,20.16555,-196.5102,stars,#A627EF,0.01817747909871678,0.01817747909871678
310,3495.0242,64.63852,-1777.4507,stars,#C89143,0.0866810992765247,0.0866810992765247
312,2620.7305,48.6282,-822.6792,stars,#F949A6,0.06794531442493523,0.06794531442493523
313,1979.1478,36.82912,496.53558,stars,#B6234B,0.0763741826716098,0.0763741826716098
332,901.3877,17.71039,-110.14491,stars,#5B867C,0.02508173667373996,0.02508173667373996
336,565.77203,11.31274,1738.3673,stars,#FD7BB9,0.0677019503865961,0.0677019503865961
338,7856.7715,157.80095,-2773.207,stars,#8E4E9C,0.017909449660279415,0.017909449660279415
344,2279.6414,46.00531,116.99052,stars,#363DD2,0.09751627181964763,0.09751627181964763
359,1376.6161,28.66331,36.94304,stars,#68C4B1,0.05461823577896407,0.05461823577896407
360,727.0765,15.16943,571.73627,stars,#4F371F,0.09712243491964459,0.09712243491964459
363,1914.1322,40.48876,-1089.0824,stars,#57E675,0.053986864186202306,0.053986864186202306
366,983.04596,20.8788,569.65594,stars,#DBABE2,0.028342924424659424,0.028342924424659424
369,2917.5032,62.24453,-1702.2754,stars,#FFBC73,0.04792980779597755,0.04792980779597755
370,1949.1621,41.66685,-1218.0916,stars,#C34962,0.05556783065023158,0.05556783065023158
371,3458.1472,73.96876,4467.109,stars,#E78EBE,0.030580023316720946,0.030580023316720946
373,1787.1311,38.4753,897.0397,stars,#1AE8A7,0.08303663690932565,0.08303663690932565
378,496.85495,10.75186,508.7996,stars,#C5EF41,0.09793030393270637,0.09793030393270637
384,414.48837,9.12359,-301.38358,stars,#91F30E,0.09002872623710713,0.09002872623710713
385,1006.8081,22.21163,164.54962,stars,#618DF8,0.026715518910917627,0.026715518910917627
388,1064.0597,23.69398,1945.1525,stars,#20E630,0.06579562693434626,0.06579562693434626
390,257.09064,5.74993,-330.94617,stars,#397D8C,0.03079546399697289,0.03079546399697289
399,2098.131,47.68932,1541.8357,stars,#5CB954,0.038594381384486454,0.038594381384486454
404,1559.3911,36.05442,1761.6273,stars,#98DB76,0.05051003606831895,0.05051003606831895
405,610.42834,14.20452,1581.1111,stars,#CACE2D,0.029379587335133447,0.029379587335133447
407,1787.6067,41.60946,-697.699,stars,#8E7AC4,0.08840577963232735,0.08840577963232735
409,34.48844,0.81384,-26.33508,stars,#6B11B4,0.058812233855088394,0.058812233855088394
413,401.74243,9.41573,-2117.376,stars,#C6E46E,0.02833441743197037,0.02833441743197037
415,882.18225,20.71003,-584.0505,stars,#0CCD45,0.049195945714829395,0.049195945714829395
421,163.72766,3.90031,671.3989,stars,#2E0190,0.025932282482989462,0.025932282482989462
426,418.56366,10.01171,171.07033,stars,#C18696,0.020166805525092334,0.020166805525092334
431,1122.2913,27.36369,-1228.1111,stars,#C585C0,0.020857774753906225,0.020857774753906225
435,2314.8342,57.0543,-3747.6436,stars,#E5CE90,0.05731270386811774,0.05731270386811774
439,276.2297,6.86494,447.62378,stars,#497202,0.023245550053117067,0.023245550053117067
445,1218.4581,30.52729,392.27252,stars,#537D80,0.05401997582614514,0.05401997582614514
446,366.7927,9.21634,2335.42,stars,#351D4F,0.07347312786892168,0.07347312786892168
448,1203.4358,30.61145,-1587.1348,stars,#C4E0F1,0.049174538468803784,0.049174538468803784
449,193.48181,4.94362,971.9979,stars,#D16A81,0.07349861699513058,0.07349861699513058
455,1296.0083,33.45085,-333.65994,stars,#ABB655,0.019754990492192738,0.019754990492192738
456,281.1792,7.26208,-725.60065,stars,#DBA9A3,0.03732929415938528,0.03732929415938528
460,1698.7432,44.26956,1683.9305,stars,#8BB624,0.09820888469047645,0.09820888469047645
469,855.3012,22.89695,146.4813,stars,#10FCBA,0.08211099510771562,0.08211099510771562
477,759.49695,20.81957,-1574.5226,stars,#6CEC07,0.02653986626184733,0.02653986626184733
478,6546.5903,179.50034,-1246.7488,stars,#A24945,0.01696264262730016,0.01696264262730016
480,168.37769,4.6441,-194.2844,stars,#40C85F,0.06179513165250625,0.06179513165250625
483,900.57074,24.90669,780.3626,stars,#165D0F,0.05533441046093269,0.05533441046093269
485,1046.409,28.98493,2676.1077,stars,#FEC89A,0.09860229968671662,0.09860229968671662
486,2113.6428,58.70229,-968.19147,stars,#FA174A,0.08725921761529122,0.08725921761529122
497,966.1026,27.68565,926.2639,stars,#F500AC,0.025011131631586483,0.025011131631586483
498,1423.0293,40.944,774.6806,stars,#A76473,0.08096670224970298,0.08096670224970298
500,1262.0084,36.3429,1908.525,stars,#8BC09A,0.010529843634684139,0.010529843634684139
504,1594.212,46.34013,-730.89734,stars,#EBBAA0,0.08933479443168847,0.08933479443168847
505,3357.4177,97.70832,9313.85,stars,#080105,0.07286877969546621,0.07286877969546621
507,7252.577,213.82088,-796.08105,stars,#72931F,0.09863081694148265,0.09863081694148265
510,1682.3376,49.75974,298.86313,stars,#F7031F,0.0695294944199121,0.0695294944199121
511,1103.7462,32.67584,-83.9971,stars,#9BC47E,0.06127814479861703,0.06127814479861703
514,362.09604,10.80174,-154.57211,stars,#84C51F,0.07002802148400804,0.07002802148400804
517,2245.6956,67.09459,1356.9222,stars,#5FF5F7,0.02154693368090619,0.02154693368090619
519,1340.9708,40.22414,43.59112,stars,#CD181C,0.0593117534679214,0.0593117534679214
520,2072.3518,62.1637,2417.414,stars,#500357,0.08728294104003646,0.08728294104003646
522,3568.8545,107.32008,-5129.7427,stars,#F18FE4,0.07051926978535629,0.07051926978535629
529,867.68463,26.48295,1908.2626,stars,#1D6E2A,0.03932059535850913,0.03932059535850913
533,2529.6409,77.76737,-862.5889,stars,#A2BED7,0.02631589463213275,0.02631589463213275
534,1149.8687,35.47804,138.71748,stars,#1CBDD2,0.04487412261549024,0.04487412261549024
536,153.69649,4.76664,1913.2164,stars,#C7FE77,0.08939818696191965,0.08939818696191965
537,921.873,28.67659,-261.86224,stars,#DF4F08,0.0911420266725466,0.0911420266725466
542,730.80756,22.81202,2358.3962,stars,#ACA03F,0.05111242761230649,0.05111242761230649
543,3254.8076,101.85561,2267.7947,stars,#A61736,0.09494405770332831,0.09494405770332831
544,1366.782,42.85499,1454.0009,stars,#0E4900,0.036067533995127826,0.036067533995127826
546,1049.8567,33.04887,-1824.5112,stars,#CDFC0D,0.0494892374626324,0.0494892374626324
548,183.23567,5.77827,-777.40094,stars,#21449A,0.08033840478969868,0.08033840478969868
554,1679.2657,53.5391,-526.09845,stars,#0707FC,0.06307547265171394,0.06307547265171394
558,453.86676,14.6117,-215.20253,stars,#7D3064,0.07767345987534169,0.07767345987534169
560,7664.115,246.9265,-1495.165,stars,#16BE21,0.02420006887174693,0.02420006887174693
561,1333.8162,43.00737,-274.24985,stars,#9AFB97,0.02625463363297636,0.02625463363297636
562,1076.8256,34.89196,-919.51404,stars,#3D9952,0.08462691907152073,0.08462691907152073
564,798.18536,26.02133,-1184.4991,stars,#8948AB,0.036779706888139134,0.036779706888139134
575,690.0364,22.96501,933.9515,stars,#0F5244,0.07327867104518282,0.07327867104518282
576,1332.2972,44.36217,1121.6655,stars,#DA3BE1,0.08258591569044253,0.08258591569044253
578,1333.9882,44.55692,-3128.5376,stars,#8B211E,0.09686956324667985,0.09686956324667985
582,508.84457,17.06383,-1139.9061,stars,#BC540B,0.05188655680356155,0.05188655680356155
584,1992.4612,67.05987,-2104.091,stars,#3601B0,0.05304816071983879,0.05304816071983879
586,1832.0042,61.85593,-81.59303,stars,#4862EF,0.06617990686435368,0.06617990686435368
590,1941.8331,66.17022,-382.21716,stars,#928DE2,0.09590134310725185,0.09590134310725185
591,1310.4789,44.90215,1051.3246,stars,#235CC4,0.0769734660645534,0.0769734660645534
593,872.76245,30.04737,-74.1749,stars,#E62547,0.05833819738085329,0.05833819738085329
594,1430.3137,49.39477,-1295.6083,stars,#19E489,0.06831105651544281,0.06831105651544281
596,1052.9801,36.71245,-267.1341,stars,#891727,0.07304610098169345,0.07304610098169345
600,202.41592,7.07364,-1004.37164,stars,#EC5DDB,0.09279215297956579,0.09279215297956579
602,1614.0618,56.46179,-1336.6602,stars,#9EB24F,0.062153165129010285,0.062153165129010285
603,1073.0914,37.60705,655.19257,stars,#E0D50F,0.06143443419987471,0.06143443419987471
604,1502.1119,52.66301,-868.8861,stars,#03FF2E,0.08613911365308763,0.08613911365308763
606,791.15753,27.82872,-524.5625,stars,#8B9831,0.06376166001339434,0.06376166001339434
609,2620.2183,92.60415,226.0281,stars,#5423E5,0.017282707290118188,0.017282707290118188
613,1532.1797,54.82549,-1210.0071,stars,#683992,0.08983653234667129,0.08983653234667129
617,1648.1697,59.1911,-1946.2107,stars,#32848A,0.04291089244517795,0.04291089244517795
620,265.11673,9.57394,-70.21385,stars,#C71FEE,0.03835156662608928,0.03835156662608928
625,2696.0327,98.49585,162.20132,stars,#6B2D2E,0.09596190225606635,0.09596190225606635
628,259.74573,9.51042,144.61264,stars,#4D195D,0.033691852650200055,0.033691852650200055
630,4331.3164,159.07845,-6724.1646,stars,#709203,0.06497895205818852,0.06497895205818852
634,2174.8574,80.14159,-2121.84,stars,#4CFBAB,0.01764170840063768,0.01764170840063768
635,2991.0315,110.309,-4036.5151,stars,#F943D6,0.048551399838710846,0.048551399838710846
646,5506.5957,205.72594,-1745.7017,stars,#0AE67E,0.02437113571842974,0.02437113571842974
661,1337.9923,51.5849,1157.4558,stars,#197579,0.07884714000087753,0.07884714000087753
663,1938.5258,74.75353,1656.5688,stars,#A6ADFC,0.03964637296269772,0.03964637296269772
669,2354.4739,91.41767,-960.58453,stars,#681BC6,0.021219678444353844,0.021219678444353844
670,782.0143,30.53104,177.86758,stars,#22AAB5,0.08228724621536765,0.08228724621536765
677,753.9163,29.75289,-1038.5582,stars,#6A6D88,0.09281521247951868,0.09281521247951868
681,2669.917,105.45478,-1208.4194,stars,#213DF5,0.06891224585482174,0.06891224585482174
682,1847.8131,73.02778,772.20557,stars,#F4BA10,0.07245228036848275,0.07245228036848275
695,1797.8093,72.14338,-1101.6044,stars,#14739A,0.015732260771954304,0.015732260771954304
700,464.5132,18.78356,219.57478,stars,#FB186A,0.05099405224029451,0.05099405224029451
702,1478.4716,60.05685,-1130.6161,stars,#ACB838,0.05682560844032076,0.05682560844032076
704,1059.6218,43.10735,-951.0764,stars,#DF7B94,0.033391143895602306,0.033391143895602306
705,491.3616,20.00156,155.37418,stars,#4F7994,0.010955263503928598,0.010955263503928598
713,643.085,26.58564,223.07707,stars,#F819A0,0.04069649800995974,0.04069649800995974
720,842.13196,35.17881,-1895.7612,stars,#57A697,0.0786276156417335,0.0786276156417335
722,983.4633,41.163,-385.3931,stars,#A14F95,0.01823925290079958,0.01823925290079958
727,1552.8502,65.46506,-2320.9639,stars,#FD5590,0.09412008254836879,0.09412008254836879
736,1799.7053,77.25969,2436.7659,stars,#3BD761,0.010490653867516244,0.010490653867516244
737,459.2508,19.71928,-307.59738,stars,#65A0FA,0.0680090298080478,0.0680090298080478
739,753.7922,32.4526,112.12898,stars,#536903,0.0694316711022228,0.0694316711022228
740,1554.457,66.9397,314.18176,stars,#1E90A6,0.09698757892144111,0.09698757892144111
756,496.0639,21.75183,-987.1224,stars,#8DF27C,0.03939503143532093,0.03939503143532093
757,1031.5536,45.27858,1083.9141,stars,#BA8C37,0.06955203613865829,0.06955203613865829
759,819.6084,35.98363,-129.55891,stars,#6B36D0,0.05321193242133613,0.05321193242133613
762,2668.9092,117.45645,1770.868,stars,#5BFD4F,0.01827190624961931,0.01827190624961931
766,1499.5773,66.20362,1840.9021,stars,#A2A557,0.035766517580740946,0.035766517580740946
776,3044.6704,136.55469,3748.2134,stars,#3A340F,0.06964720881866515,0.06964720881866515
777,3042.4443,136.48553,3934.0518,stars,#5EFDA6,0.01269005842281915,0.01269005842281915
779,580.0594,26.12349,-53.33956,stars,#67FB85,0.01640339182772075,0.01640339182772075
780,2615.272,117.85276,2717.794,stars,#2C6F7C,0.04704244459890612,0.04704244459890612
784,1240.3346,56.21547,-1179.1863,stars,#FBEC3D,0.05072338513542319,0.05072338513542319
793,2763.3232,126.48748,3529.453,stars,#44BE84,0.030763144500998624,0.030763144500998624
795,972.4344,44.56056,1508.5103,stars,#0F7196,0.03774037748887655,0.03774037748887655
796,2558.2217,117.73394,1671.4166,stars,#75AEAF,0.04846169732289227,0.04846169732289227
798,2771.3767,128.00043,4742.6436,stars,#544018,0.06849104763883165,0.06849104763883165
801,688.8519,31.97833,-1391.2701,stars,#45EA0E,0.0676492099594967,0.0676492099594967
806,1227.8162,57.24979,288.8152,stars,#2E30AA,0.09671338578262956,0.09671338578262956
810,731.379,34.21562,-163.39166,stars,#61F827,0.05197791929765936,0.05197791929765936
811,2290.3264,107.53228,3671.9365,stars,#2EE54A,0.09998956551041721,0.09998956551041721
812,799.60767,37.58567,-642.8962,stars,#41B088,0.06727487031607961,0.06727487031607961
828,2736.5134,131.03482,-920.5531,stars,#C25E33,0.09523924028396541,0.09523924028396541
829,1396.4586,66.88814,1818.2214,stars,#5B9D6E,0.09420468509375543,0.09420468509375543
