Index,star_name,galaxy_name,size,color,distance_from_earth,likelihood_of_life,num_surr_planets,type_of_star,p_life
1,Komu kepo,Cize loha,11.283134082358988,#83E792,2387254243.6619678,97.03046,0,Main Sequence,97
2,Vuru goza,Zuju vuhi,15.108297217469856,#2AC3C3,3655900967.643971,58.12317,13,Supergiant,58
3,Kina cowu,Yazo keku,3.823228120146334,#C6DDC3,5519678016.621352,46.228245,16,White Dwarf,46
4,Moxe copu,Xixa xuyu,14.392850921395977,#0BF991,1517002825.597455,85.06668,8,White Dwarf,85
5,Fape zibu,Kiqe xofu,8.962635550725826,#834F39,8754685882.737814,35.562817,5,Supergiant,35
9,Xape yula,Mana toyu,5.762670804958035,#524446,12658498157.564491,69.87808,9,Supergiant,69
11,Qule kine,Layo quri,30.81052062235911,#57F2B7,7331119379.490479,39.451027,2,Supergiant,39
15,Sewi varo,Qeya tiyu,21.620219745363862,#61780A,12453753986.354774,87.61169,10,White Dwarf,87
24,Qefu bune,Voya geyu,27.83890803294497,#65A8CC,11067115806.23782,81.77375,6,Giant,81
26,Yuqu gubo,Fike siku,46.87156846162966,#2B83DE,1546196244.9697428,89.005165,16,Supergiant,89
27,Tuka caka,Nevi voqu,47.667264694790596,#B10819,4630353501.57503,61.223217,13,White Dwarf,61
29,Coxa yalo,Hilu wavo,16.072973431378994,#06C915,9959628758.568443,34.81651,1,Giant,34
30,Vudo didu,Mami fiqa,22.740106423476444,#89AD18,11372442507.163898,38.476227,10,White Dwarf,38
35,Wuru mupa,Kidu pula,33.34774637554096,#02F061,4991412327.441556,77.25058,8,Supergiant,77
36,Pono tufi,Mawi vexo,15.254021298104806,#5A9DE5,7048409842.788627,96.90159,19,White Dwarf,96
38,Voha polu,Diqu xiro,17.861018433928564,#DCB11F,6383976818.456082,67.21627,19,Supergiant,67
47,Felo supi,Lebi guho,41.94851809286866,#31D2FF,3893450220.0726347,92.62077,10,Red Dwarf,92
52,Lezo qeba,Cehe wiki,0.9348863316090034,#94466C,3065114721.6494274,17.492714,13,Giant,17
56,Fezi xuli,Vawo cuqu,5.407647352911916,#249DA0,7009266840.913924,3.1814208,11,Supergiant,3
65,Joto boha,Guqu nafa,29.50092729168093,#1DA174,9929614569.330921,1.0488753,4,White Dwarf,1
66,Teru moha,Mizi yiti,5.533974569589853,#11468F,3632734195.9858522,71.16784,12,Supergiant,71
67,Beki yiba,Giva tuke,39.73458694499435,#F17BEF,7497675974.925837,59.61977,9,White Dwarf,59
69,Vuso vudo,Fuqe diju,35.33874924342257,#F1E6E3,1682824510.314053,62.775368,3,Supergiant,62
75,Hupo rere,Jeto mubi,3.310380840222041,#E0AC43,6947882390.958166,11.700039,13,Main Sequence,11
78,Joza yeqa,Fevo tesu,43.474825781160725,#9880F2,917393573.2497586,32.59517,13,Neutron,32
82,Fawo jiba,Sowo dumo,33.956229696357624,#7A563C,11595700306.05243,85.118126,17,White Dwarf,85
87,Jofi tayi,Xidu gazi,6.580798647937371,#CA3F2F,1351023274.301323,61.538063,12,White Dwarf,61
89,Cora diko,Bixo piga,7.973612241027653,#D6B783,2453255354.4985886,94.86138,13,Giant,94
90,Fefe laga,Wugo jige,5.788319023529977,#8932EB,12548557409.437769,60.39418,15,Red Dwarf,60
95,Cayi cena,Kiro lira,32.778099495407396,#4C76B8,5237621718.599396,55.61096,4,Supergiant,55
97,Weji zone,Qoqu wole,27.594883493402282,#196BE5,5219804450.327413,54.283844,0,Red Dwarf,54
100,Rego hola,Mijo fara,45.520613753830226,#45E117,4048160660.8741,12.112108,9,Giant,12
101,Zija jite,Zuru xile,8.305866533181234,#846273,2273330254.4780674,27.72266,11,Giant,27
109,Ziri yuju,Maso xelo,26.85350820617559,#D8EED3,12740753778.770882,80.246185,9,Main Sequence,80
111,Popu mesa,Xuze yili,27.93449065026693,#EE8321,11217400488.279167,92.83149,15,Supergiant,92
115,Loja jiqa,Caxa xise,16.9366019675046,#112073,2096430870.6543348,95.89562,7,Supergiant,95
118,Baxe bufo,Xoza peto,21.370653729533956,#191678,8834266429.581886,74.36999,12,Supergiant,74
125,Deni ziyo,Gise daza,48.73473730236593,#B8F281,4322363522.83861,47.969627,11,Giant,47
127,Wowe biva,Yemi fiki,18.10152109376959,#C6D733,1448903186.5115013,59.04094,13,White Dwarf,59
128,Pupi foto,Yoru yuda,25.476673182961125,#EC66E4,9451228120.811531,24.91085,11,Giant,24
129,Baqu rawa,Zequ feqi,16.612120399385137,#253EF6,12722012425.580381,67.78536,1,Main Sequence,67
131,Mofo zote,Lunu jina,8.10105426784731,#0991C3,10190963777.6687,60.328144,8,Red Dwarf,60
132,Weki joye,Nuka yafa,49.29837893326861,#4A9954,4701230616.741758,21.167597,12,Main Sequence,21
134,Dehe fepu,Tega qujo,6.656546465795993,#9D98A4,1934565308.7059922,39.439384,1,Giant,39
135,Bozu yaqe,Zuse tabi,38.780666107418035,#9761BD,8639992776.761374,38.846123,19,Main Sequence,38
137,Mudu kiyi,Raku yato,17.927434760050176,#CA7AB2,2752021771.1279016,0.6499967,16,Red Dwarf,0
140,Tuxi ravi,Siwe mupa,30.814132401587884,#F4151B,9612481785.037693,97.02045,1,Supergiant,97
147,Qupe sexe,Lijo viko,38.71759320945337,#0AEAAF,5939875975.270468,30.271112,10,White Dwarf,30
148,Wepe ridi,Rago poko,30.557081166757133,#AEED0E,4821228621.478038,52.008022,4,Main Sequence,52
151,Leba leqo,Yejo sulu,4.612106944804072,#3874EB,8079598448.553763,52.88616,17,White Dwarf,52
152,Ruza faze,Guto qixu,7.308400445367371,#A9F129,12687192619.477194,55.1807,1,White Dwarf,55
154,Yupa yoxe,Qici moqo,24.629913554028956,#D96869,10731771760.68056,83.421135,14,Main Sequence,83
159,Cami hava,Tebi loje,34.53032535911744,#3CE66B,2817249534.6330256,1.0509441,0,Main Sequence,1
163,Vuqe lahu,Yohe fetu,5.136268822666896,#585E71,9919626735.484043,52.548862,12,Red Dwarf,52
166,Baho puwe,Yuve biyu,21.222973217276177,#EEBC5C,10626859664.584879,57.906757,18,Red Dwarf,57
167,Pizo gela,Neda hota,21.726211157479405,#F38B42,10528709820.324839,27.017899,12,Supergiant,27
170,Lesa nubi,Yili dibo,19.638778627574457,#A16AF4,11945976912.797457,12.670057,15,Supergiant,12
